Name	Version	Architecturet	Description
liblcms2-2:amd64	2.9-1ubuntu0.1	amd64	Little CMS 2 color management library
libldap-2.4-2:amd64	2.4.45+dfsg-1ubuntu1.11	amd64	OpenLDAP libraries
libldap-common	2.4.45+dfsg-1ubuntu1.11	all	OpenLDAP common files for libraries
libllvm10:amd64	1:10.0.0-4ubuntu1~18.04.2	amd64	Modular compiler and toolchain technologies, runtime library
liblsan0:amd64	8.4.0-1ubuntu1~18.04	amd64	LeakSanitizer -- a memory leak detector (runtime)
liblz4-1:amd64	0.0~r131-2ubuntu3.1	amd64	Fast LZ compression algorithm library - runtime
liblzma-dev:amd64	5.2.2-1.3ubuntu0.1	amd64	XZ-format compression library - development files
liblzma5:amd64	5.2.2-1.3ubuntu0.1	amd64	XZ-format compression library
libmount1:amd64	2.31.1-0.4ubuntu3.7	amd64	device mounting library
libmpc3:amd64	1.1.0-1	amd64	multiple precision complex floating-point library
libmpdec2:amd64	2.4.2-1ubuntu1	amd64	library for decimal floating point arithmetic (runtime library)
libmpfr6:amd64	4.0.1-1	amd64	multiple precision floating-point computation
libmpx2:amd64	8.4.0-1ubuntu1~18.04	amd64	Intel memory protection extensions (runtime)
libncurses5:amd64	6.1-1ubuntu1.18.04.1	amd64	shared libraries for terminal handling
libncurses5-dev:amd64	6.1-1ubuntu1.18.04.1	amd64	developer's libraries for ncurses
libncursesw5:amd64	6.1-1ubuntu1.18.04.1	amd64	shared libraries for terminal handling (wide character support)
libnettle6:amd64	3.4.1-0ubuntu0.18.04.1	amd64	low level cryptographic library (symmetric and one-way cryptos)
libnghttp2-14:amd64	1.30.0-1ubuntu1	amd64	library implementing HTTP/2 protocol (shared library)
libnpth0:amd64	1.5-3	amd64	replacement for GNU Pth using system threads
libnspr4:amd64	2:4.18-1ubuntu1	amd64	NetScape Portable Runtime Library
libnss3:amd64	2:3.35-2ubuntu2.16	amd64	Network Security Service libraries
libp11-kit0:amd64	0.23.9-2ubuntu0.1	amd64	library for loading and coordinating access to PKCS#11 modules - runtime
libpam-modules:amd64	1.1.8-3.6ubuntu2.18.04.6	amd64	Pluggable Authentication Modules for PAM
libpam-modules-bin	1.1.8-3.6ubuntu2.18.04.6	amd64	Pluggable Authentication Modules for PAM - helper binaries
libpam-runtime	1.1.8-3.6ubuntu2.18.04.6	all	Runtime support for the PAM library
libpam0g:amd64	1.1.8-3.6ubuntu2.18.04.6	amd64	Pluggable Authentication Modules library
libpango-1.0-0:amd64	1.40.14-1ubuntu0.1	amd64	Layout and rendering of internationalized text
libpangocairo-1.0-0:amd64	1.40.14-1ubuntu0.1	amd64	Layout and rendering of internationalized text
libpangoft2-1.0-0:amd64	1.40.14-1ubuntu0.1	amd64	Layout and rendering of internationalized text
libpciaccess0:amd64	0.14-1	amd64	Generic PCI access library for X
libpcre3:amd64	2:8.39-9ubuntu0.1	amd64	Old Perl 5 Compatible Regular Expression Library - runtime files
libpcsclite1:amd64	1.8.23-1	amd64	Middleware to access a smart card using PC/SC (library)
libperl5.26:amd64	5.26.1-6ubuntu0.7	amd64	shared Perl library
libpixman-1-0:amd64	0.34.0-2ubuntu0.1	amd64	pixel-manipulation library for X and cairo
libpng16-16:amd64	1.6.34-1ubuntu0.18.04.2	amd64	PNG library - runtime (version 1.6)
libprocps6:amd64	2:3.3.12-3ubuntu1.2	amd64	library for accessing process information from /proc
libpsl5:amd64	0.19.1-5build1	amd64	Library for Public Suffix List (shared libraries)
libpython3-stdlib:amd64	3.6.7-1~18.04	amd64	interactive high-level object-oriented language (default python3 version)
libpython3.6-minimal:amd64	3.6.9-1~18.04ubuntu1.10	amd64	Minimal subset of the Python language (version 3.6)
libpython3.6-stdlib:amd64	3.6.9-1~18.04ubuntu1.10	amd64	Interactive high-level object-oriented language (standard library, version 3.6)
libquadmath0:amd64	8.4.0-1ubuntu1~18.04	amd64	GCC Quad-Precision Math Library
libreadline7:amd64	7.0-3	amd64	GNU readline and history libraries, run-time libraries
libroken18-heimdal:amd64	7.5.0+dfsg-1ubuntu0.4	amd64	Heimdal Kerberos - roken support library
librsvg2-2:amd64	2.40.20-2ubuntu0.2	amd64	SAX-based renderer library for SVG files (runtime)
librsvg2-common:amd64	2.40.20-2ubuntu0.2	amd64	SAX-based renderer library for SVG files (extra runtime)
librtmp1:amd64	2.4+20151223.gitfa8646d.1-1	amd64	toolkit for RTMP streams (shared library)
libsasl2-2:amd64	2.1.27~101-g0780600+dfsg-3ubuntu2.4	amd64	Cyrus SASL - authentication abstraction library
libsasl2-modules-db:amd64	2.1.27~101-g0780600+dfsg-3ubuntu2.4	amd64	Cyrus SASL - pluggable authentication modules (DB)
libseccomp2:amd64	2.5.1-1ubuntu1~18.04.2	amd64	high level interface to Linux seccomp filter
libselinux1:amd64	2.7-2build2	amd64	SELinux runtime shared libraries
libsemanage-common	2.7-2build2	all	Common files for SELinux policy management libraries
libsemanage1:amd64	2.7-2build2	amd64	SELinux policy management library
libsensors4:amd64	1:3.4.0-4ubuntu0.1	amd64	library to read temperature/voltage/fan sensors
libsepol1:amd64	2.7-1ubuntu0.1	amd64	SELinux library for manipulating binary security policies
libsigsegv2:amd64	2.12-1	amd64	Library for handling page faults in a portable way
libsmartcols1:amd64	2.31.1-0.4ubuntu3.7	amd64	smart column output alignment library
libsqlite3-0:amd64	3.22.0-1ubuntu0.7	amd64	SQLite 3 shared library
libss2:amd64	1.44.1-1ubuntu1.4	amd64	command-line interface parsing library
libssl-dev:amd64	1.1.1-1ubuntu2.1~18.04.23	amd64	Secure Sockets Layer toolkit - development files
libssl1.0.0:amd64	1.0.2n-1ubuntu5.13	amd64	Secure Sockets Layer toolkit - shared libraries
libssl1.1:amd64	1.1.1-1ubuntu2.1~18.04.23	amd64	Secure Sockets Layer toolkit - shared libraries
libstdc++-7-dev:amd64	7.5.0-3ubuntu1~18.04	amd64	GNU Standard C++ Library v3 (development files)
libstdc++6:amd64	8.4.0-1ubuntu1~18.04	amd64	GNU Standard C++ Library v3
libsystemd0:amd64	237-3ubuntu10.57	amd64	systemd utility library
libtasn1-6:amd64	4.13-2	amd64	Manage ASN.1 structures (runtime)
libthai-data	0.1.27-2	all	Data files for Thai language support library
libthai0:amd64	0.1.27-2	amd64	Thai language support library
libtiff5:amd64	4.0.9-5ubuntu0.10	amd64	Tag Image File Format (TIFF) library
libtinfo-dev:amd64	6.1-1ubuntu1.18.04.1	amd64	developer's library for the low-level terminfo library
libtinfo5:amd64	6.1-1ubuntu1.18.04.1	amd64	shared low-level terminfo library for terminal handling
libtsan0:amd64	8.4.0-1ubuntu1~18.04	amd64	ThreadSanitizer -- a Valgrind-based detector of data races (runtime)
libubsan0:amd64	7.5.0-3ubuntu1~18.04	amd64	UBSan -- undefined behaviour sanitizer (runtime)
libudev1:amd64	237-3ubuntu10.57	amd64	libudev shared library
libunistring2:amd64	0.9.9-0ubuntu2	amd64	Unicode string library for C
libuuid1:amd64	2.31.1-0.4ubuntu3.7	amd64	Universally Unique ID library
libwind0-heimdal:amd64	7.5.0+dfsg-1ubuntu0.4	amd64	Heimdal Kerberos - stringprep implementation
libx11-6:amd64	2:1.6.4-3ubuntu0.4	amd64	X11 client-side library
libx11-data	2:1.6.4-3ubuntu0.4	all	X11 client-side library
libx11-xcb1:amd64	2:1.6.4-3ubuntu0.4	amd64	Xlib/XCB interface library
libxau6:amd64	1:1.0.8-1ubuntu1	amd64	X11 authorisation library
libxcb-dri2-0:amd64	1.13-2~ubuntu18.04	amd64	X C Binding, dri2 extension
libxcb-dri3-0:amd64	1.13-2~ubuntu18.04	amd64	X C Binding, dri3 extension
libxcb-glx0:amd64	1.13-2~ubuntu18.04	amd64	X C Binding, glx extension
libxcb-present0:amd64	1.13-2~ubuntu18.04	amd64	X C Binding, present extension
libxcb-render0:amd64	1.13-2~ubuntu18.04	amd64	X C Binding, render extension
libxcb-shm0:amd64	1.13-2~ubuntu18.04	amd64	X C Binding, shm extension
libxcb-sync1:amd64	1.13-2~ubuntu18.04	amd64	X C Binding, sync extension
libxcb1:amd64	1.13-2~ubuntu18.04	amd64	X C Binding
libxcomposite1:amd64	1:0.4.4-2	amd64	X11 Composite extension library
libxcursor1:amd64	1:1.1.15-1	amd64	X cursor management library
libxdamage1:amd64	1:1.1.4-3	amd64	X11 damaged region extension library
libxdmcp6:amd64	1:1.1.2-3	amd64	X11 Display Manager Control Protocol library
libxext6:amd64	2:1.3.3-1	amd64	X11 miscellaneous extension library
libxfixes3:amd64	1:5.0.3-1	amd64	X11 miscellaneous 'fixes' extension library
libxi6:amd64	2:1.7.9-1	amd64	X11 Input extension library
libxinerama1:amd64	2:1.1.3-1	amd64	X11 Xinerama extension library
libxml2:amd64	2.9.4+dfsg1-6.1ubuntu1.8	amd64	GNOME XML library
libxmuu1:amd64	2:1.1.2-2	amd64	X11 miscellaneous micro-utility library
libxrandr2:amd64	2:1.5.1-1	amd64	X11 RandR extension library
